[2019-03-21 19:45:51,737: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:46:01,472: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:46:11,612: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:46:11,624: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:46:21,699: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:46:21,712: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:46:36,742: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:46:36,749: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:46:51,714: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:46:51,719: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:46:51,739: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:46:51,754: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:47:11,759: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:47:21,742: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:47:21,755: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:47:21,782: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:47:31,719: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:47:31,754: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:47:46,759: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
